symbol,date,trend_efficiency,daily_range_pct,Actual,HMM_regime,GMM_regime,Ensemble_regime
AAPL,2026-01-02,0.24426605504587187,3.192852696715598,CHOPPY,,,MIXED
AAPL,2026-01-05,0.686567164179104,1.9791743593530808,TRENDING,,,MIXED
AAPL,2026-01-06,0.8882882882882877,2.0766294993639196,TRENDING,CHOPPY,CHOPPY,CHOPPY
AAPL,2026-01-07,0.35588972431078014,1.5233077539800746,MIXED,MIXED,CHOPPY,CHOPPY
AAPL,2026-01-08,0.146341463414625,1.5787447054293504,CHOPPY,CHOPPY,CHOPPY,CHOPPY
AAPL,2026-01-09,0.049040511727070676,1.8080185042405543,CHOPPY,MIXED,CHOPPY,CHOPPY
AAPL,2026-01-12,0.5122494432071284,1.7450446949086702,MIXED,CHOPPY,CHOPPY,CHOPPY
AAPL,2026-01-13,0.29268292682926417,1.4213080656343877,CHOPPY,MIXED,CHOPPY,CHOPPY
AAPL,2026-01-14,0.23632812499999578,1.963867899198345,CHOPPY,CHOPPY,CHOPPY,CHOPPY
AAPL,2026-01-15,0.36591478696742685,1.536269829046669,MIXED,MIXED,CHOPPY,CHOPPY
AAPL,2026-01-16,0.7858942065491253,1.5364966328663097,TRENDING,CHOPPY,CHOPPY,CHOPPY
AAPL,2026-01-20,0.4494283201407197,4.514054311576944,MIXED,MIXED,TRENDING,MIXED
AAPL,2026-01-21,0.18567251461988443,2.7677740460486397,CHOPPY,CHOPPY,MIXED,MIXED
AAPL,2026-01-22,0.40268456375838296,1.1921430571668672,MIXED,MIXED,MIXED,MIXED
AAPL,2026-01-23,0.16279069767441512,1.9018898271009208,CHOPPY,CHOPPY,MIXED,MIXED
AAPL,2026-01-26,0.926401869158879,3.4445293951953655,TRENDING,TRENDING,TRENDING,TRENDING
AAPL,2026-01-27,0.15789473684209715,2.2909373784519587,CHOPPY,CHOPPY,MIXED,MIXED
AAPL,2026-01-28,0.4943820224719216,1.7191423604404048,MIXED,MIXED,MIXED,MIXED
AAPL,2026-01-29,0.12571839080459782,5.395348837209298,CHOPPY,CHOPPY,TRENDING,TRENDING
AAPL,2026-01-30,0.1431513903192574,3.7680934456129376,CHOPPY,MIXED,TRENDING,MIXED
AMD,2026-01-02,0.6580516898608353,4.6308230528447805,TRENDING,,,MIXED
AMD,2026-01-05,0.48636698599852496,5.9509713634171035,MIXED,,,MIXED
AMD,2026-01-06,0.637161084529503,5.64508868281265,TRENDING,CHOPPY,MIXED,CHOPPY
AMD,2026-01-07,0.6523668639053231,3.1634610884926855,TRENDING,MIXED,CHOPPY,CHOPPY
AMD,2026-01-08,0.6735941320293405,3.894681712136351,TRENDING,CHOPPY,CHOPPY,CHOPPY
AMD,2026-01-09,0.317460317460319,2.1533203124999982,MIXED,MIXED,CHOPPY,CHOPPY
AMD,2026-01-12,0.6583912611717974,5.019189552908335,TRENDING,CHOPPY,TRENDING,CHOPPY
AMD,2026-01-13,0.8456742010911913,6.101388624690894,TRENDING,TRENDING,TRENDING,TRENDING
AMD,2026-01-14,0.326987681970883,4.054483541430196,MIXED,TRENDING,TRENDING,TRENDING
AMD,2026-01-15,0.4241037376048824,5.82045817794352,MIXED,TRENDING,TRENDING,TRENDING
AMD,2026-01-16,0.11482558139534775,2.9576132748688826,CHOPPY,TRENDING,TRENDING,TRENDING
AMD,2026-01-20,0.398106904231626,7.978676143936032,MIXED,TRENDING,MIXED,MIXED
AMD,2026-01-21,0.8537054860442738,8.843305813260704,TRENDING,TRENDING,TRENDING,TRENDING
AMD,2026-01-22,0.44536082474226785,3.8039215686274463,MIXED,MIXED,TRENDING,TRENDING
AMD,2026-01-23,0.43335565974547946,5.9079577381187836,MIXED,CHOPPY,TRENDING,CHOPPY
AMD,2026-01-26,0.9250851305334818,3.4003628082905566,TRENDING,MIXED,TRENDING,TRENDING
AMD,2026-01-27,0.14756258234518782,2.9917225068979123,CHOPPY,CHOPPY,TRENDING,TRENDING
AMD,2026-01-28,0.22405660377358586,3.317554086303349,CHOPPY,TRENDING,TRENDING,TRENDING
AMD,2026-01-29,0.06581632653061185,7.793240556660037,CHOPPY,TRENDING,MIXED,MIXED
AMD,2026-01-30,0.6864940517844619,5.793869607525147,TRENDING,TRENDING,MIXED,CHOPPY
AMZN,2026-01-02,0.5776744186046493,4.615913092017691,TRENDING,,,MIXED
AMZN,2026-01-05,0.8056338028169019,3.1259631048298306,TRENDING,,,MIXED
AMZN,2026-01-06,0.7329246935201388,4.905498281786936,TRENDING,CHOPPY,CHOPPY,CHOPPY
AMZN,2026-01-07,0.18717504332755816,2.400266234036362,CHOPPY,TRENDING,TRENDING,TRENDING
AMZN,2026-01-08,0.7297297297297302,2.4503311258278093,TRENDING,MIXED,MIXED,MIXED
AMZN,2026-01-09,0.2971530249110296,2.2865977703637417,CHOPPY,TRENDING,TRENDING,TRENDING
AMZN,2026-01-12,0.025316455696203444,1.9268292682926866,CHOPPY,MIXED,TRENDING,TRENDING
AMZN,2026-01-13,0.4475806451612883,3.0257432185123423,MIXED,TRENDING,TRENDING,TRENDING
AMZN,2026-01-14,0.8207831325301213,2.742441764414346,TRENDING,MIXED,TRENDING,MIXED
AMZN,2026-01-15,0.06716417910447292,1.6922753104609598,CHOPPY,TRENDING,MIXED,TRENDING
AMZN,2026-01-16,0.13133640552995224,1.8129412256151067,CHOPPY,MIXED,MIXED,MIXED
AMZN,2026-01-20,0.5860869565217399,2.4512938568444387,TRENDING,TRENDING,TRENDING,TRENDING
AMZN,2026-01-21,0.08265802269043591,2.6555909443057657,CHOPPY,MIXED,TRENDING,TRENDING
AMZN,2026-01-22,0.3091286307053906,2.061591103507268,MIXED,TRENDING,MIXED,TRENDING
AMZN,2026-01-23,0.5573539760731898,3.0249489100817395,TRENDING,MIXED,TRENDING,TRENDING
AMZN,2026-01-26,0.09411764705882215,1.4252777195556392,CHOPPY,TRENDING,MIXED,TRENDING
AMZN,2026-01-27,0.7331460674157326,2.9706275033377736,TRENDING,MIXED,MIXED,MIXED
AMZN,2026-01-28,0.49111807732497453,3.895786688377782,MIXED,TRENDING,TRENDING,TRENDING
AMZN,2026-01-29,0.2426127527216131,2.6469619627861056,CHOPPY,MIXED,TRENDING,TRENDING
AMZN,2026-01-30,0.12323943661971616,2.3666666666666694,CHOPPY,TRENDING,TRENDING,TRENDING
GOOGL,2026-01-02,0.06907894736841885,3.848832056719638,CHOPPY,,,MIXED
GOOGL,2026-01-05,0.19318181818182434,1.3931104356636201,CHOPPY,,,MIXED
GOOGL,2026-01-06,0.24344978165938527,2.8938805168546327,CHOPPY,MIXED,CHOPPY,CHOPPY
GOOGL,2026-01-07,0.6433358153387924,4.282388954433853,TRENDING,CHOPPY,MIXED,MIXED
GOOGL,2026-01-08,0.2970521541950121,2.7315804143826052,CHOPPY,MIXED,CHOPPY,CHOPPY
GOOGL,2026-01-09,0.590551181102364,1.557661055407348,TRENDING,CHOPPY,CHOPPY,CHOPPY
GOOGL,2026-01-12,0.6893939393939392,2.8401057355382093,TRENDING,MIXED,CHOPPY,CHOPPY
GOOGL,2026-01-13,0.5233644859813099,2.2486415083010627,MIXED,CHOPPY,CHOPPY,CHOPPY
GOOGL,2026-01-14,0.1503355704697995,2.21311231916347,CHOPPY,MIXED,CHOPPY,CHOPPY
GOOGL,2026-01-15,0.5592105263157878,2.2551259606539933,TRENDING,CHOPPY,CHOPPY,CHOPPY
GOOGL,2026-01-16,0.4875283446712035,2.6409557744707586,MIXED,MIXED,CHOPPY,CHOPPY
GOOGL,2026-01-20,0.0026714158503982786,3.507840319860067,CHOPPY,TRENDING,CHOPPY,TRENDING
GOOGL,2026-01-21,0.5503496503496502,4.443339651368739,TRENDING,TRENDING,MIXED,MIXED
GOOGL,2026-01-22,0.17397660818713337,2.060985898517546,CHOPPY,TRENDING,TRENDING,TRENDING
GOOGL,2026-01-23,0.5038880248833602,1.9433027079303697,MIXED,TRENDING,TRENDING,TRENDING
GOOGL,2026-01-26,0.5968841285296987,3.1340596295279024,TRENDING,TRENDING,TRENDING,TRENDING
GOOGL,2026-01-27,0.083673469387749,1.4621191776325537,CHOPPY,MIXED,CHOPPY,CHOPPY
GOOGL,2026-01-28,0.3788606726149612,4.3390214121921415,MIXED,CHOPPY,MIXED,MIXED
GOOGL,2026-01-29,0.31146535867566155,4.75718244130086,MIXED,MIXED,MIXED,MIXED
GOOGL,2026-01-30,0.3140756302521024,2.8439133681852073,MIXED,CHOPPY,CHOPPY,CHOPPY
META,2026-01-02,0.6712268314210087,3.407057691440251,TRENDING,,,MIXED
META,2026-01-05,0.4330484330484355,2.696349557522117,MIXED,,,MIXED
META,2026-01-06,0.09772226304187552,2.067666317244734,CHOPPY,CHOPPY,CHOPPY,CHOPPY
META,2026-01-07,0.575715282623869,2.1806284714296473,TRENDING,MIXED,CHOPPY,CHOPPY
META,2026-01-08,0.24833333333333485,1.852652380658309,CHOPPY,CHOPPY,CHOPPY,CHOPPY
META,2026-01-09,0.7088502894954437,1.873808527456182,TRENDING,MIXED,CHOPPY,CHOPPY
META,2026-01-12,0.28821243523316464,2.3868783526829103,CHOPPY,CHOPPY,CHOPPY,CHOPPY
META,2026-01-13,0.613212063188126,3.248783067137367,TRENDING,MIXED,CHOPPY,CHOPPY
META,2026-01-14,0.9860583016476535,2.5027358804777045,TRENDING,CHOPPY,CHOPPY,CHOPPY
META,2026-01-15,0.39476334340382463,1.6101049081445606,MIXED,MIXED,CHOPPY,CHOPPY
META,2026-01-16,0.2440347071583537,1.4807914685853645,CHOPPY,CHOPPY,CHOPPY,CHOPPY
META,2026-01-20,0.14726631393298661,1.8713797712758111,CHOPPY,MIXED,CHOPPY,CHOPPY
META,2026-01-21,0.48378229796591443,2.9969025965467146,MIXED,CHOPPY,MIXED,MIXED
META,2026-01-22,0.9318108716629141,5.025458659985457,TRENDING,MIXED,MIXED,MIXED
META,2026-01-23,0.4305722288915561,3.8616064530086236,MIXED,TRENDING,MIXED,MIXED
META,2026-01-26,0.6064763995609249,2.7510191756001854,TRENDING,TRENDING,MIXED,MIXED
META,2026-01-27,0.11656952539550194,1.7805782060785753,CHOPPY,CHOPPY,CHOPPY,CHOPPY
META,2026-01-28,0.4615747289014606,15.756162063381232,MIXED,MIXED,TRENDING,TRENDING
META,2026-01-29,0.46770601336303114,4.384153996373267,MIXED,TRENDING,MIXED,MIXED
META,2026-01-30,0.5116896918172141,2.5998066031219853,MIXED,TRENDING,MIXED,MIXED
MSFT,2026-01-02,0.8077601410934754,3.4953970080552343,TRENDING,,,MIXED
MSFT,2026-01-05,0.14984709480122554,1.381232972185267,CHOPPY,,,MIXED
MSFT,2026-01-06,0.5862068965517256,1.9616961907580377,TRENDING,CHOPPY,MIXED,CHOPPY
MSFT,2026-01-07,0.4571428571428556,2.786974560999122,MIXED,CHOPPY,MIXED,CHOPPY
MSFT,2026-01-08,0.7009873060648808,1.4680000828208857,TRENDING,CHOPPY,CHOPPY,CHOPPY
MSFT,2026-01-09,0.13272010512483431,1.592083516391559,CHOPPY,CHOPPY,MIXED,CHOPPY
MSFT,2026-01-12,0.07088989441930177,1.3963480128893653,CHOPPY,CHOPPY,CHOPPY,CHOPPY
MSFT,2026-01-13,0.5772285966460721,2.3790525785318413,TRENDING,CHOPPY,CHOPPY,CHOPPY
MSFT,2026-01-14,0.7959349593495945,2.6198641078617246,TRENDING,CHOPPY,CHOPPY,CHOPPY
MSFT,2026-01-15,0.31425702811245,2.1635241984533797,MIXED,CHOPPY,CHOPPY,CHOPPY
MSFT,2026-01-16,0.3826086956521732,1.5055311906787934,MIXED,CHOPPY,MIXED,CHOPPY
MSFT,2026-01-20,0.08515815085157984,1.8126488489018318,CHOPPY,CHOPPY,CHOPPY,CHOPPY
MSFT,2026-01-21,0.5515826494724516,3.743444583415619,TRENDING,CHOPPY,CHOPPY,CHOPPY
MSFT,2026-01-22,0.3110285006195778,1.799371223438648,MIXED,CHOPPY,MIXED,CHOPPY
MSFT,2026-01-23,0.6244343891402688,4.887650389242751,TRENDING,MIXED,MIXED,MIXED
MSFT,2026-01-26,0.43744889615699223,2.6181709196780307,MIXED,TRENDING,MIXED,MIXED
MSFT,2026-01-27,0.7019319227230904,2.293055438359633,TRENDING,MIXED,MIXED,MIXED
MSFT,2026-01-28,0.790731354091239,8.590801642267646,TRENDING,TRENDING,TRENDING,TRENDING
MSFT,2026-01-29,0.5841779279279273,7.815181518151823,TRENDING,MIXED,TRENDING,TRENDING
MSFT,2026-01-30,0.30974124809741094,3.0330309535350835,MIXED,TRENDING,CHOPPY,CHOPPY
NVDA,2026-01-02,0.06903991370011224,2.449270767279655,CHOPPY,,,MIXED
NVDA,2026-01-05,0.270414993306561,3.9334421568111204,CHOPPY,,,MIXED
NVDA,2026-01-06,0.16292134831460836,2.8247989843419252,CHOPPY,CHOPPY,CHOPPY,CHOPPY
NVDA,2026-01-07,0.2839248434238012,2.5516727040272857,CHOPPY,MIXED,CHOPPY,CHOPPY
NVDA,2026-01-08,0.7077625570776271,3.463728384647824,TRENDING,CHOPPY,MIXED,CHOPPY
NVDA,2026-01-09,0.012048192771081965,1.7957594115101652,CHOPPY,MIXED,CHOPPY,CHOPPY
NVDA,2026-01-12,0.4262990455991494,2.580168545474446,MIXED,CHOPPY,CHOPPY,CHOPPY
NVDA,2026-01-13,0.17735042735042977,2.5304136253041403,CHOPPY,MIXED,CHOPPY,CHOPPY
NVDA,2026-01-14,0.5466377440347078,2.4874548103383227,MIXED,CHOPPY,MIXED,CHOPPY
NVDA,2026-01-15,0.16103059581320503,3.3297587131367186,CHOPPY,MIXED,TRENDING,MIXED
NVDA,2026-01-16,0.47301951779563883,2.3107125802514936,MIXED,CHOPPY,MIXED,CHOPPY
NVDA,2026-01-20,0.47841105354058966,3.1902584164416727,MIXED,TRENDING,MIXED,TRENDING
NVDA,2026-01-21,0.5268817204301098,4.136780650542117,MIXED,TRENDING,TRENDING,TRENDING
NVDA,2026-01-22,0.4000000000000025,1.2162162162162162,MIXED,TRENDING,MIXED,TRENDING
NVDA,2026-01-23,0.49016393442623146,3.3107191316146505,MIXED,TRENDING,TRENDING,TRENDING
NVDA,2026-01-26,0.19648093841641717,1.8225547835382283,CHOPPY,TRENDING,MIXED,TRENDING
NVDA,2026-01-27,0.3752913752913725,2.291177098910485,MIXED,MIXED,CHOPPY,CHOPPY
NVDA,2026-01-28,0.35474006116207735,1.704989832629444,MIXED,CHOPPY,CHOPPY,CHOPPY
NVDA,2026-01-29,0.0,3.878927283182596,CHOPPY,MIXED,CHOPPY,CHOPPY
NVDA,2026-01-30,0.0032362459546942087,3.253145233457918,CHOPPY,CHOPPY,CHOPPY,CHOPPY
QQQ,2026-01-02,0.559055118110236,2.0465056319190493,TRENDING,,,MIXED
QQQ,2026-01-05,0.28343313373252726,0.8132984854141964,CHOPPY,,,MIXED
QQQ,2026-01-06,0.8456973293768602,1.0905795928934354,TRENDING,TRENDING,CHOPPY,CHOPPY
QQQ,2026-01-07,0.25656877897990127,1.0399922844467349,CHOPPY,MIXED,CHOPPY,CHOPPY
QQQ,2026-01-08,0.4429530201342232,0.956814898057479,MIXED,CHOPPY,CHOPPY,CHOPPY
QQQ,2026-01-09,0.7324263038548847,1.4214343271555094,TRENDING,TRENDING,CHOPPY,CHOPPY
QQQ,2026-01-12,0.6088474970896389,1.3840774696679232,TRENDING,MIXED,CHOPPY,CHOPPY
QQQ,2026-01-13,0.06357388316151351,0.9294748945956204,CHOPPY,CHOPPY,CHOPPY,CHOPPY
QQQ,2026-01-14,0.5671506352087123,1.7628897314072693,TRENDING,CHOPPY,MIXED,MIXED
QQQ,2026-01-15,0.013910355486867303,1.0399588517054084,CHOPPY,TRENDING,CHOPPY,CHOPPY
QQQ,2026-01-16,0.4297635605006966,1.1513579297976002,MIXED,MIXED,CHOPPY,CHOPPY
QQQ,2026-01-20,0.29999999999999716,1.3118840294517966,CHOPPY,CHOPPY,MIXED,MIXED
QQQ,2026-01-21,0.5594919786096288,2.4537462275291833,TRENDING,TRENDING,TRENDING,TRENDING
QQQ,2026-01-22,0.3388773388773338,0.7742080865310422,MIXED,MIXED,TRENDING,TRENDING
QQQ,2026-01-23,0.274348422496572,1.1766794718662175,CHOPPY,TRENDING,TRENDING,TRENDING
QQQ,2026-01-26,0.46172248803827837,1.3425836705852146,MIXED,MIXED,TRENDING,TRENDING
QQQ,2026-01-27,0.682481751824817,0.8713765523382497,TRENDING,TRENDING,CHOPPY,CHOPPY
QQQ,2026-01-28,0.3527272727272689,1.2969047207331834,MIXED,MIXED,CHOPPY,CHOPPY
QQQ,2026-01-29,0.36717428087986376,2.7902804444304588,MIXED,CHOPPY,MIXED,MIXED
QQQ,2026-01-30,0.4921700223713591,1.4317745035233913,MIXED,CHOPPY,MIXED,MIXED
SPY,2026-01-02,0.47234042553190764,1.0276668318707844,MIXED,,,MIXED
SPY,2026-01-05,0.5118110236220591,0.7418115973773642,MIXED,,,MIXED
SPY,2026-01-06,0.9055555555555569,0.7860834121842896,TRENDING,CHOPPY,CHOPPY,CHOPPY
SPY,2026-01-07,0.3057851239669439,0.700201090809142,MIXED,MIXED,MIXED,MIXED
SPY,2026-01-08,0.2905027932960759,0.5198199506316307,CHOPPY,CHOPPY,CHOPPY,CHOPPY
SPY,2026-01-09,0.8415032679738519,0.8877542139313592,TRENDING,MIXED,CHOPPY,CHOPPY
SPY,2026-01-12,0.7294281729428125,1.0406084003367206,TRENDING,CHOPPY,MIXED,CHOPPY
SPY,2026-01-13,0.21043771043771253,0.8551068883610365,CHOPPY,MIXED,MIXED,MIXED
SPY,2026-01-14,0.43019943019942875,1.013381837079379,MIXED,CHOPPY,MIXED,CHOPPY
SPY,2026-01-15,0.2761904761904656,0.6072698880888415,CHOPPY,MIXED,CHOPPY,CHOPPY
SPY,2026-01-16,0.4930875576036799,0.6253241888075661,MIXED,CHOPPY,MIXED,CHOPPY
SPY,2026-01-20,0.40121951219512086,1.2045538009548191,MIXED,TRENDING,MIXED,MIXED
SPY,2026-01-21,0.5388802488335969,1.892066854990586,MIXED,MIXED,TRENDING,TRENDING
SPY,2026-01-22,0.17835909631391028,0.6102959318442462,CHOPPY,CHOPPY,TRENDING,TRENDING
SPY,2026-01-23,0.05249343832019126,0.5534412132128729,CHOPPY,MIXED,TRENDING,TRENDING
SPY,2026-01-26,0.47471910112359456,1.0327971104889837,MIXED,CHOPPY,TRENDING,TRENDING
SPY,2026-01-27,0.5152542372881413,0.4248333069312536,MIXED,MIXED,CHOPPY,CHOPPY
SPY,2026-01-28,0.5188356164383486,0.8372759856630871,MIXED,CHOPPY,MIXED,CHOPPY
SPY,2026-01-29,0.2864906832298092,1.8471511135969245,CHOPPY,MIXED,MIXED,MIXED
SPY,2026-01-30,0.11142454160790885,1.0283857679532413,CHOPPY,CHOPPY,MIXED,CHOPPY
TSLA,2026-01-02,0.6660536962118411,5.925812919536222,TRENDING,,,MIXED
TSLA,2026-01-05,0.45518207282913253,3.2086282440175204,MIXED,,,MIXED
TSLA,2026-01-06,0.6861407249466926,5.199325972240709,TRENDING,TRENDING,TRENDING,TRENDING
TSLA,2026-01-07,0.44649933949801496,1.738271831729787,MIXED,MIXED,CHOPPY,CHOPPY
TSLA,2026-01-08,0.3479648842777353,2.906787918155239,MIXED,TRENDING,CHOPPY,CHOPPY
TSLA,2026-01-09,0.47935656836461027,4.274189851950322,MIXED,MIXED,MIXED,MIXED
TSLA,2026-01-12,0.3958205285802093,3.6821617706965966,MIXED,TRENDING,CHOPPY,CHOPPY
TSLA,2026-01-13,0.16023391812865528,1.907545401811613,CHOPPY,CHOPPY,CHOPPY,CHOPPY
TSLA,2026-01-14,0.6812159002338285,2.8703102977695214,TRENDING,CHOPPY,CHOPPY,CHOPPY
TSLA,2026-01-15,0.14267185473410646,1.7512379048744007,CHOPPY,CHOPPY,CHOPPY,CHOPPY
TSLA,2026-01-16,0.3031825795644896,2.706991928901786,MIXED,CHOPPY,CHOPPY,CHOPPY
TSLA,2026-01-20,0.44066515495086744,3.1138936615906085,MIXED,CHOPPY,CHOPPY,CHOPPY
TSLA,2026-01-21,0.5397286821705408,4.888446781298859,MIXED,MIXED,MIXED,MIXED
TSLA,2026-01-22,0.7157333333333342,4.305099533901224,TRENDING,TRENDING,MIXED,MIXED
TSLA,2026-01-23,0.36114421930869817,1.861218332667817,MIXED,MIXED,CHOPPY,CHOPPY
TSLA,2026-01-26,0.8665568369028002,2.7193512980758427,TRENDING,TRENDING,TRENDING,TRENDING
TSLA,2026-01-27,0.7738693467336664,1.8180157135026447,TRENDING,MIXED,CHOPPY,CHOPPY
TSLA,2026-01-28,0.14132592298531174,5.8233349515685315,CHOPPY,TRENDING,MIXED,MIXED
TSLA,2026-01-29,0.38910761154855666,6.895147607736685,MIXED,CHOPPY,MIXED,MIXED
TSLA,2026-01-30,0.2684183410613109,4.575024748974678,CHOPPY,CHOPPY,CHOPPY,CHOPPY
